ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,33090,SYSTEM1.TXT,0.34492,0.35020,0.34754,4

ROUGE-2+StopWordRemoval,33090,SYSTEM1.TXT,0.10478,0.09438,0.09931,4

ROUGE-L+StopWordRemoval,33090,SYSTEM1.TXT,0.29702,0.21187,0.24732,4

ROUGE-SU4+StopWordRemoval,33090,SYSTEM1.TXT,0.19087,0.14882,0.16725,4

ROUGE-1+StopWordRemoval,30817,SYSTEM1.TXT,0.32483,0.36499,0.34374,3

ROUGE-2+StopWordRemoval,30817,SYSTEM1.TXT,0.19363,0.17525,0.18398,3

ROUGE-L+StopWordRemoval,30817,SYSTEM1.TXT,0.17207,0.30370,0.21968,3

ROUGE-SU4+StopWordRemoval,30817,SYSTEM1.TXT,0.23525,0.22676,0.23093,3

ROUGE-1+StopWordRemoval,30816,SYSTEM1.TXT,0.35548,0.39688,0.37504,3

ROUGE-2+StopWordRemoval,30816,SYSTEM1.TXT,0.12707,0.13156,0.12928,3

ROUGE-L+StopWordRemoval,30816,SYSTEM1.TXT,0.28536,0.28772,0.28654,3

ROUGE-SU4+StopWordRemoval,30816,SYSTEM1.TXT,0.18706,0.19584,0.19135,3

ROUGE-1+StopWordRemoval,30819,SYSTEM1.TXT,0.22745,0.41961,0.29500,4

ROUGE-2+StopWordRemoval,30819,SYSTEM1.TXT,0.10390,0.15652,0.12489,4

ROUGE-L+StopWordRemoval,30819,SYSTEM1.TXT,0.17217,0.27049,0.21041,4

ROUGE-SU4+StopWordRemoval,30819,SYSTEM1.TXT,0.14808,0.21146,0.17419,4

ROUGE-1+StopWordRemoval,33097,SYSTEM1.TXT,0.11927,0.49227,0.19202,3

ROUGE-2+StopWordRemoval,33097,SYSTEM1.TXT,0.04180,0.25752,0.07192,3

ROUGE-L+StopWordRemoval,33097,SYSTEM1.TXT,0.11312,0.42369,0.17857,3

ROUGE-SU4+StopWordRemoval,33097,SYSTEM1.TXT,0.06174,0.31352,0.10316,3

ROUGE-1+StopWordRemoval,33098,SYSTEM1.TXT,0.21039,0.57171,0.30759,3

ROUGE-2+StopWordRemoval,33098,SYSTEM1.TXT,0.10572,0.26943,0.15185,3

